Id,StatusId,OfficialName,DisplayName,TrimmedName,ShortDescription,Description,DUNS,MIC,PrimaryContactId,PrimaryWeb,PrimaryPhone,PrimaryFax,PrimaryAddressId,ImageName,PreferredContactMethod,AllowEmail,AllowPhone,AllowFax,AllowMail,CreatedOn,CreatedBy,AssessmentType,IsCertified,DeletedOn,DeletedBy,Name,Address,Address2,City,PostalCode,Lat,Lng,State,Country,Certified,AccountTypes,Brands
1768,1,Northcoast Performance Marine,Northcoast Performance Marine,northcoastperformancemarine,,,,,95D77674-82A8-4852-8218-D44F8DC13CFE,,330-494-3115,330-494-3146,1204,,,1,1,1,1,2006-03-03 10:38:37.487,D8A98DDE-B45E-4D74-81EB-99CC17472A32,US,0,,,Northcoast Performance Marine,8424 Cleveland Ave. NW,,Canton,44720,40.908307,-81.405659,OH,US,0,3,
1893,1,"Irish Boat Shop, Inc.","Irish Boat Shop, Inc.",irishboatshop,"Irish Boat Shop- with boatyards in Harbor Springs and Charlevoix, Michigan.   In business since 1961, IBS services include: Dockage; Storage of heated, cold or mast up sailboats; fully stocked Ship's Stores; New and brokerage boat sales featuring Sea Ray, Boston Whaler, J-Boats, SEALEGS amphibious boats, Zodiac, and more; Service for engines and drivetrains,P",,,,DB165ADC-E357-44C9-AEFD-7641A149CB48,www.irishboatshop.com,231.526.6225,231.526.5565,1385,,1,1,1,1,1,2006-03-14 10:11:24.153,,US,0,,,"Irish Boat Shop, Inc.",400 East Bay Street,,Harbor Springs,49740,45.4300436227614,-84.9841096535067,MI,US,0,3,
1893,1,"Irish Boat Shop, Inc.","Irish Boat Shop, Inc.",irishboatshop,"Irish Boat Shop- with boatyards in Harbor Springs and Charlevoix, Michigan.   In business since 1961, IBS services include: Dockage; Storage of heated, cold or mast up sailboats; fully stocked Ship's Stores; New and brokerage boat sales featuring Sea Ray, Boston Whaler, J-Boats, SEALEGS amphibious boats, Zodiac, and more; Service for engines and drivetrains,P",,,,DB165ADC-E357-44C9-AEFD-7641A149CB48,www.irishboatshop.com,231.526.6225,231.526.5565,1385,,1,1,1,1,1,2006-03-14 10:11:24.153,,US,0,,,"Irish Boat Shop, Inc.",400 East Bay Street,,Harbor Springs,49740,45.4300436227614,-84.9841096535067,MI,US,0,3,
1895,1,Lanier Harbor Boat Sales and Service,Lanier Harbor Boat Sales and Service,lanierharborboatsalesandservice,,,,,5B088F3D-E453-4CAE-AC8B-F972B4CD29CB,lanierharborboatsales.com,770-614-9209,770-614-9289,1387,,1,1,1,1,1,2006-03-14 10:44:21.053,,US,0,,,Lanier Harbor Boat Sales and Service,2120 Pine Tree,,Buford ,30518,34.1487533593402,-84.0251442638478,GA,US,0,3,
1896,1,"Hellier Yacht Sales, Inc.","Hellier Yacht Sales, Inc.",hellieryachtsales,,,,,3C2E333C-7D76-4465-872F-CF2EE01CE2F8,http://www.hellieryachts.com,860.442.1154,860-442-3622,1388,,1,1,1,1,1,2006-03-14 10:46:30.960,,US,0,,,"Hellier Yacht Sales, Inc.",128 Howard St.,,New London,06320,41.346632,-72.100277,CT,US,0,3,
1897,1,Horn Ford Mercury Marine,Horn Ford Mercury Marine,hornfordmercurymarine,,,,,19FA9187-901C-4D43-A542-23EFFFA64B2D,hornford.com,920-756-2115,920-756-2117,1389,,1,1,1,1,1,2006-03-14 10:47:09.193,,US,0,,,Horn Ford Mercury Marine,666 W. Ryan Street,HWY 10,Brillion,54110,44.1824276085886,-88.0762455737982,WI,US,0,3,
1902,1,"Colony Marine Sales & Service, Inc.","Colony Marine Sales & Service, Inc. (Saint Clair Shores)",colonymarinesalesservice,"Here at Colony Marine, we don't just sell boats, we sell the boating lifestyle. Owned and operated by the same family for over 45 years, Colony Marine is the largest dealer in Southeast Michigan, and the oldest in the boating industry. With convenient locations in Algonac, Pontiac and St. Clair Shores, Colony Marine is your premier, full-line Sea Ray, Boston Whaler, Meridian, and Sea Pro dealer in Michigan. ",,,,7690B833-1067-4E08-8D69-1C87B7B9CA44,http://www.colonymarine.com,586-772-1550,586-772-4792,1397,,1,1,1,1,1,2006-03-14 11:19:37.243,,US,0,,,Colony Marine - St. Clair Shores,24530 Jefferson,,Saint Clair Shores,48080,42.473045,-82.88906,MI,US,0,3,
1902,1,"Colony Marine Sales & Service, Inc.","Colony Marine Sales & Service, Inc. (Saint Clair Shores)",colonymarinesalesservice,"Here at Colony Marine, we don't just sell boats, we sell the boating lifestyle. Owned and operated by the same family for over 45 years, Colony Marine is the largest dealer in Southeast Michigan, and the oldest in the boating industry. With convenient locations in Algonac, Pontiac and St. Clair Shores, Colony Marine is your premier, full-line Sea Ray, Boston Whaler, Meridian, and Sea Pro dealer in Michigan. ",,,,7690B833-1067-4E08-8D69-1C87B7B9CA44,http://www.colonymarine.com,586-772-1550,586-772-4792,1397,,1,1,1,1,1,2006-03-14 11:19:37.243,,US,0,,,Colony Marine - St. Clair Shores,24530 Jefferson,,Saint Clair Shores,48080,42.473045,-82.88906,MI,US,0,3,
1902,1,"Colony Marine Sales & Service, Inc.","Colony Marine Sales & Service, Inc. (Saint Clair Shores)",colonymarinesalesservice,"Here at Colony Marine, we don't just sell boats, we sell the boating lifestyle. Owned and operated by the same family for over 45 years, Colony Marine is the largest dealer in Southeast Michigan, and the oldest in the boating industry. With convenient locations in Algonac, Pontiac and St. Clair Shores, Colony Marine is your premier, full-line Sea Ray, Boston Whaler, Meridian, and Sea Pro dealer in Michigan. ",,,,7690B833-1067-4E08-8D69-1C87B7B9CA44,http://www.colonymarine.com,586-772-1550,586-772-4792,1397,,1,1,1,1,1,2006-03-14 11:19:37.243,,US,0,,,Colony Marine - St. Clair Shores,24530 Jefferson,,Saint Clair Shores,48080,42.473045,-82.88906,MI,US,0,3,
1902,1,"Colony Marine Sales & Service, Inc.","Colony Marine Sales & Service, Inc. (Saint Clair Shores)",colonymarinesalesservice,"Here at Colony Marine, we don't just sell boats, we sell the boating lifestyle. Owned and operated by the same family for over 45 years, Colony Marine is the largest dealer in Southeast Michigan, and the oldest in the boating industry. With convenient locations in Algonac, Pontiac and St. Clair Shores, Colony Marine is your premier, full-line Sea Ray, Boston Whaler, Meridian, and Sea Pro dealer in Michigan. ",,,,7690B833-1067-4E08-8D69-1C87B7B9CA44,http://www.colonymarine.com,586-772-1550,586-772-4792,1397,,1,1,1,1,1,2006-03-14 11:19:37.243,,US,0,,,Colony Marine - St. Clair Shores,24530 Jefferson,,Saint Clair Shores,48080,42.473045,-82.88906,MI,US,0,3,
