Id,Culture,Name,Description
1,en-US,aerate,"To force air and oxygen into livewells to keep fish or bait alive. Also, to force air under the running surface of a hull."
2,en-US,aft,The rear of the boat.
3,en-US,aft cabin,Sleeping quarters beneath the aft or rear section of the boat (sometimes called a mid cabin when located beneath the helm).
4,en-US,alee,The side of a boat or object away from the direction of the wind.
5,en-US,aloft,Above deck in the rigging.
6,en-US,aluminum fish boat,"Small, lightweight, durable trailerboat constructed of aluminum that is either welded or riveted; generally used for freshwater fishing."
7,en-US,amidships,Center section of a boat.
8,en-US,anchorage,A location intended or suited for anchoring.
9,en-US,anti-fouling paint,A special paint applied to a boat's hull to prevent marine growth.
10,en-US,apparent wind,The direction and velocity of wind as felt in a moving boat.
11,en-US,astern,The direction toward or beyond the stern.
12,en-US,athwart,Perpendicular to a boat's centerline
13,en-US,axle ratio,"The relationship of revolutions of a tow vehicle's axle to that of its driveshaft or transaxle, e.g. 2.74:1."
14,en-US,aweigh,An anchor that is off the bottom.
15,en-US,backing down,Maneuvering in reverse when offshore fishing while attempting to land a fish.
16,en-US,backstay,A support for the mast to keep it from falling forward.
17,en-US,bail,"To remove water with a bucket or pump. Also, a component that controls fishing line on a spinning reel."
18,en-US,bait station,Area on a fishing boat for preparing bait.
19,en-US,baitwell,"Compartment on a fishing boat for holding live bait, usually with a pump to circulate the water and an aerator to provide oxygen."
20,en-US,ballast,Weight added to the bottom of a boat to improve stability.
21,en-US,bass boat,"Low-profile, outboard-powered boat, generally no more than 22 feet long and typically equipped with rod lockers, casting decks with pedestal seats and livewells."
22,en-US,bay boat,"Low-profile, inshore fishing boat intended for use in protected coastal waters, and frequently made with rolled-edge construction."
23,en-US,beach catamaran,"Small, lightweight sailboat less than 25 feet long that can be easily launched and retrieved from a beach."
24,en-US,beam,"Measurement of a boat at its widest point. Also, a transmitted radio, sonar or radar signal."
25,en-US,bearing,Direction to an object.
26,en-US,bear off,To turn away from the wind.
27,en-US,beating,Sailing upwind.
28,en-US,berth,"A place to sleep aboard a boat. Also, a boat slip."
29,en-US,bilge,Lowest section inside a boat's hull where water collects.
30,en-US,bimini top,A canvas cover over the helm or cockpit area.
31,en-US,bitt,Vertical post extending above the deck to secure docking lines.
32,en-US,bluewater fishing boat,"Mid-size to large deep-V boats suitable for offshore fishing. They are typically fitted with outriggers, fish boxes, aluminum towers, a host of electronics and large fuel tanks."
33,en-US,boom,A spar attached to a sail at its foot.
34,en-US,bow,Forward portion of a boat.
35,en-US,bow eye,A stainless steel U-bolt on a boat's bow stem used to secure tow lines or trailer winch hooks.
36,en-US,bowrider,A runabout boat with open-bow seating.
37,en-US,bowsprit,A spar extending forward of the bow on a sailboat.
38,en-US,bow stop,Rubber blocks on a boat trailer into which the boat's stem rests.
39,en-US,breakaway lanyard,Emergency safety cable on a boat trailer that activates trailer brakes in the event the trailer comes detached from the tow vehicle while underway.
40,en-US,bridge clearance,Distance from waterline to a boat's highest point.
41,en-US,bulkhead,Transverse wall in a boat that usually bears weight and supplies hull support.
42,en-US,buoy,An anchored floating object that serves as a navigation aid. Also used to mark a mooring spot.
43,en-US,bunks,Long carpeted sections of a boat trailer that support the boat's weight.
44,en-US,burgee,Small flag that bears a yacht club's symbol.
45,en-US,camber,Curvature of a sail.
46,en-US,can buoy,"Cylindrical navigation buoy with a flat top, generally green in color."
47,en-US,capsize,To flip a boat over.
48,en-US,capstan,A winch used for hauling heavy objects such as anchors.
49,en-US,casting platform,"Elevated deck clear of obstruction used by anglers to make casts, often equipped with pedestal chairs."
50,en-US,cast off,To unfasten all lines in preparation for departure.
51,en-US,catamaran,"A twin hulled boat, either power or sail."
52,en-US,catboat,"Small, simple sailboat with one mast and sail set far forward."
53,en-US,cavitation,Inefficient low-pressure pockets on propellers form bubbles that collapse against the blades resulting in premature wear.
54,en-US,centerboard,"A keel-like pivoting device, typically in a trunk, that can be lowered or raised to act as a keel."
55,en-US,center console boat,Fishing boat with the helm station located amidships for maximum walk-through space around the perimeter of the boat.
56,en-US,channel,The navigable portion of a waterway.
57,en-US,chart plotter,Electronic navigation device that displays charts for use in plotting a course.
58,en-US,chart recorder,An electronic depth sounder that records bottom structure data on paper.
59,en-US,charts,Paper or electronic navigation maps.
60,en-US,chine,Portion of the hull where the bottom and sides intersect (can be rounded or angled).
61,en-US,chopped fiberglass,Fiberglass strands cut and simultaneoulsy mixed with resin by and applied to a boat mold by using a chopper gun.
62,en-US,chumming,Placing fish or fish parts in the water to attract gamefish.
63,en-US,class I hitch,"Trailer hitch with a weight-carrying capacity up to 2,000 pounds; available as a bumper mount, step bumper or bumper/frame mount."
64,en-US,class II hitch,"Frame-mounted trailer hitch with a weight-carrying capacity of up to 3,500 pounds."
65,en-US,class III hitch,"Frame-mounted trailer hitch with a weight-carrying capacity of up to 5,000 pounds."
66,en-US,class IV hitch,"Frame-mounted trailer hitch with a weight-carrying capacity of up to 10,000 pounds."
67,en-US,cleat,Hardware piece on a boat or a dock to which lines are attached.
68,en-US,clew,The after-most corner of a sail.
69,en-US,close-hauled,Sailing as close to the wind as possible.
70,en-US,coaming,"A raised edge, as around the cockpit or around a hatchway, to keep water out."
71,en-US,Coast Guard safety package,"Basic safety gear required by federal law consisting of personal flotation device, throwable flotation device, visible distress signals, fire extinguisher and a horn, whistle or bell."
72,en-US,cockpit,"Deck space for the crew of a boat, typically recessed."
73,en-US,COLREGS,Coast Guard term for the navigation rules of the road; full name is International Regulations for Preventing Collisions at Sea.
74,en-US,come about,To tack or change heading relative to the wind.
75,en-US,companionway,Entryway from the deck to the belowdeck cabin area.
76,en-US,convertible,"A bluewater fishing boat typically more than 35 feet long with a full cruising salon, a fish-fighting cockpit and many other saltwater fishing features."
77,en-US,coring material,Any of a variety of lightweight materials used between layers of fiberglass laminates to add strength.
78,en-US,Corinthian,Amateur yachtsman.
79,en-US,counter rotation,The act of two propellers spinning in opposite directions on a single shaft.
80,en-US,coupler,Component on a boat trailer that connects to the hitchball.
81,en-US,course,Direction in which a boat is steered.
82,en-US,cruiser,A boat with overnight accommodations.
83,en-US,cuddy cabin,Belowdecks accommodations in the bow area for overnighting and stowage.
84,en-US,cure,Hardening process for resin-soaked fiberglass laminates.
85,en-US,curtains,Attachable front and side enclosures that protect the helm area from weather.
86,en-US,cutter,"Single-masted sailboat similar to a sloop, but with the mast farther aft to allow for a double headsail."
87,en-US,daggerboard,A keel-like device that is manually raised and lowered vertically without using a hinge.
88,en-US,davit,A small crane used to hoist a boat or dinghy or other object.
89,en-US,daysailer,"Small, open sailboat sometimes raced or short-distanced cruised, primarily used for recreational sailing."
90,en-US,day sailing,"To go sailing for a few hours on a small, open sailboat."
91,en-US,dead ahead,Directly ahead of the bow.
92,en-US,deadrise,Degrees of V-shape hull angle measured at the transom of planing powerboats.
93,en-US,deck boat,Blunt-bowed power boat generally characterized by an open deck and generous passenger seating.
94,en-US,deep-V,"A hull shape characterized by a sharp deadrise, typically more than 20 degrees."
95,en-US,depth sounder,Electronic sonar device that displays water depth.
96,en-US,deviation,The amount of error from displaying magnetic north in a boat's compass caused by the boat's own magnetic interference.
97,en-US,differential GPS (DGPS),A highly accurate global positioning system (GPS) that utilizes a differential radio beacon and receiver to compute and correct the error of all visible satellites sending data to a conventional GPS unit.
98,en-US,dinghy,"A small sailboat often raced that can be sailed on and off a beach. Also a tender, either rowed or equipped with power, used to go to and from a larger vessel."
99,en-US,dinette,A small dining area usually consisting of a table and facing bench seats; it can often be converted into a berth.
100,en-US,direct drive,An engine configuration in which the drive shaft runs in a straight driveline through the bottom of the hull.
