CompanyID,CompanyName,CompanyEmail,Phone,URL,INFO,Address1,Address2,City,StateCode,latitude,longitude,programs,CompanyTypeID,zipcode
1253,360 YACHTING,jay.phillips@360yachting.com,8665612175,www.360yachting.com,Sailing School,17264 SAN CARLOS BLVD STE 302,"UNIT 302, BOX 161",FORT MYERS BEACH,FL,26.49003,-81.94401,1;8;9,5,33931-5304
308,3rd Coast Cruising,,(708) 482-4300,www.3rdcoastcruising.com,"If you're like a lot of parents these days, it can be challenging to get your kids to drop the smartphones and get involved in a new activity. And you want that activity to be fun, safe and rewarding. Our Youth Sailing Camp meets these requirements and th",DuSable Harbor,Lower Randolph & Lake Shore Drive,Chicago,IL,41.8856,-87.61185,1;8;9,3,60611
353,3rd Coast Cruising,,(708) 482-4300,www.3rdcoastcruising.com,"If you're like a lot of parents these days, it can be challenging to get your kids to drop the smartphones and get involved in a new activity. And you want that activity to be fun, safe and rewarding. Our Youth Sailing Camp meets these requirements and th",DuSable Harbor,Lower Randolph & Lake Shore Drive,Chicago,IL,41.8856,-87.61185,1;8;9,3,60611
342,A Diver's World,info@adiversworld.com,952-892-7211,www.adiversworld.com,Scuba Diving Lessons,16430 Kenrick Ave,,Lakeville,MN,44.71147,-93.28347,7,3,55044
3383,A SAILING AFFAIR,,5124768341,,Sailing School,1702 W 29TH ST,,AUSTIN,TX,30.28824,-97.7628,1;8;9,5,78703-1806
3226,AAA,nancylush@ussailing.org,4014233616,,Yacht Club Sailing Program,XX,,JAMESTOWN,RI,41.51271,-71.3748,1;8;9,4,02835
3227,AAAB,nancylush@ussailing.org,4014233616,,Yacht Club Sailing Program,XX,,JAMESTOWN,RI,41.51271,-71.3748,1;8;9,4,02835
3223,AAAC,nancylush@ussailing.org,4014233616,,Yacht Club Sailing Program,XXX,,JAMESTOWN,RI,41.51271,-71.3748,1;8;9,4,02835
1677,ABACO BAHAMAS CHARTERS,,5022459428,,Sailing School,10905 COWGILL PL,,LOUISVILLE,KY,38.23964,-85.53565,1;8;9,5,40243-1711
3230,ABC YC,a@b.com,4015551212,,Yacht Club Sailing Program,555 MARITIME AVE,,PORTSMOUTH,RI,41.60165,-71.2497,1;8;9,4,02871
