Id,CategoryLevel,SegmentId,Culture,PluralName,SingularName,ImageName,Description,ShortDescription,Title,DisplayOrder,Slug,SlugUrl,Visible,IsAvailableInBoatSelector
83,2,2,en-US,Electric Motors,Electric Motor,,"<p>Electric motors come in all shapes and sizes and are used in various applications.  36 Volt systems are used on the front of fishing boats as trolling motors, while sail boats are installing larger electric motors to enable them to move in and out of harbors easier. You may even see a pair of electric motors on the back of a pontoon because of a motor restriction on a specific lake (non motorized lake).  </p>


<h4 style=""color:#333;"">Benefits / Notes</h4>
<ul class=""square"">
 <li>No Fuel Costs</li>
 <li>Less weight and volume compared to a traditional gas engine</li>
 <li>Virtually maintenance free compared to a traditional gas engine</li>
 <li>No harmful emissions</li>
 <li>No fumes</li>
 <li>No fuel spillage from filling up a gas tank</li>
 <li>Quiet and vibration free</li>
 <li>Needs to be charged on a consistent basis using a battery charger, wind or solar power</li>
 <li>Typically very limited HP and speed capabilities, appropriate for only certain types of boating</li>
</ul>",,,1,,,0,0
513,1,3,en-US,All Accessories,All Accessories,,,,,1,,,1,0
514,2,3,en-US,"Anchoring, Docking &amp; Accessories","Anchoring, Docking &amp; Accessories",anchoring_docking.jpg,"","Anchoring and docking are basic skills that all boaters must acquire in order to secure their craft when not underway.  You anchor your boat when you are away from shore, tethering it to an anchor, a heavy, usually metal object lowered overboard to grab hold of the bottom.  Docking involves tying your boat to a fixed, usually wooden structure.","Anchoring, Docking &amp; Accessories",1,,,1,0
515,3,3,en-US,"Anchors, Chains, Cables, Rollers","Anchors, Chains, Cables, Rollers","","","An anchor is a heavy, usually metal object lowered from your boat to keep the boat from drifting.  Anchors are made in several different configurations; each type works in a different fashion and is used to grab on different types of bottom.  There is no single anchor design that is best in all conditions.  For most pleasure boats the fluke or danforth type, the plow, or the mushroom anchor will prove most effective.  .The danforth style is particularly popular because it will hold on soft or muddy bottoms as well as harder or rocky bottoms.  Mushroom anchors do not have the holding power of a fluke or plow anchor and should only be used on small, lighter weight boats. Be sure to choose the anchor style that will work most effectively in the area where you will be boating.

Anchors also must have something to attach them to the boat.  This is called the anchor rode.  Usually a length of heavy chain attaches to the anchor to help the anchor engage the bottom.  A long length of rope then attaches to the chain and leads back to the boat.  The whole length of rope and chain leading from the anchor back to the boat can be referred to as the anchor cable or ground tackle.  When you want to stop at a certain location, perhaps to fish or swim from your boat, lower the anchor until it grabs the bottom, lead the rope through a roller, usually positioned on the bow of the boat to guide the anchor, and secure the rope to a samson post, a cleat, or other solid fixture.

The amount of rode that you let out—the scope-- depends on water depth and weather conditions.  The deeper the water and more severe the weather ,the more rode.  At a minimum, let out enough rode to equal five to eight times  the depth of the water plus the distance from the water to where the anchor attaches to the boat. 
","Anchors, Chains, Cables, Rollers",1,,,1,0
536,3,3,en-US,Additives,Additives,,,,,1,,,1,0
72,1,2,en-US,All Engines,All Engines,,,,,1,,,1,0
73,2,2,en-US,Outboard Engines,Outboard Engine,,,,,1,,,1,0
77,3,2,en-US,Outboard Motors - 2 Stroke,Outboard Motor - 2 Stroke,outboard,"<p>The definition of an outboard motor is a detachable engine  mounted on outboard brackets on the stern of your boat.&nbsp; Today's outboard motors range in horsepower  from 1.0 HP to over 300 HP per engine.&nbsp; Outboard motors can be used in all types of waters. </p>
<p>There are two general types of outboard motors; 2-Stroke and  4-Stroke motors. </p>

<h4 style=""color:#333;"">2-Stroke Benefits</h4>
<ul class=""square"">
  <li>Generally better acceleration out of the hole  and at top end</li>
  <li>Overall, excellent power to weight ratio</li>
  <li>Basic models are simple by design</li>
  <li>Generally lower priced than a 4-stroke  (carburated 2-Stroke only)</li>
  <li>No need to change the oil</li>
  <li>Generally weighs less than a 4-stroke</li>
  <li>Usually better fuel efficiency than carburated  2-Strokes (comparable to 4-Stroke)</li>
  <li>Usually quieter than carburated 2-Stroke (comparable to 4-Stroke)</li>
</ul>

<h4 style=""color:#333;"">Additional Benefits for 2-Stroke DFI</h4>
<ul class=""square"">
  <li>DFI versions have lower emissions than carburated 2-stroke that meet all state standards, including California (comparable to 4-Stroke)</li>
  <li>Much better fuel efficiency than carburated 2-Strokes (comparable to 4-Stroke)</li>
  <li>Much quieter than carburated 2-Stroke (comparable to 4-Stroke)</li>
  <li>Engine Management Systems</li>
  <li>Electronic Ignition Systems</li>
</ul>",,,1,,,1,0
529,3,3,en-US,Awnings,Awning,"","","Awnings are covers that provide protection from rain and sun while your boat is anchored or in port.  Awnings may come standard with your boat, or you may need to buy them separately.  Some awnings can remain up while the boat is underway.  Generally, awnings are rigged or suspended from fiberglass or metal rods or poles that attach to the boat.  When purchasing an awning be sure to buy one that is specifically designed for your particular boat.",Awnings,1,,,1,0
563,3,3,en-US,Books/Literature,Books/Literature,"","","Chapman Piloting &amp; Seamanship is the officially recommended book for the U.S. Coast Guard's boating education classes.  It is considered to be an onboard staple for both novices and old salts, and the leading reference for boaters all over the world.  The 65th Edition includes 1,500 full-color illustrations and charts and exploded views and cutaways.  It is thoroughly updated with all the latest information on federal laws, regulations, and fees, and it covers the newest technology—GPS, radar, depth sounders/fishfinders, chartplotters and other gear.  Chapman covers seamanship for powerboats, small craft, and boats under sail.",Books/Literature,1,,,1,0
